"folio_ageb","entidad","alcaldia","localidad","pob","tot_pobres","IDSM","E_IDS_V"
"0901204351231","09","012","0435",1,1,0.6019275,"Muy bajo"
"0900903910524","09","009","0391",31,29,0.6027889,"Muy bajo"
"0901204271246","09","012","0427",69,69,0.6027945,"Muy bajo"
"0901101500838","09","011","0150",26,25,0.6039462,"Muy bajo"
"0900901010100","09","009","0101",40,40,0.6046357,"Muy bajo"
"0901301971281","09","013","0197",21,21,0.6055075,"Muy bajo"
"0901202371231","09","012","0237",34,34,0.6063189,"Muy bajo"
"0901301820620","09","013","0182",4,4,0.6067079,"Muy bajo"
"0900700012475","09","007","0001",5,4,0.6079333,"Muy bajo"
"0900800750368","09","008","0075",9,9,0.6080251,"Muy bajo"
"0900902840100","09","009","0284",66,66,0.6081697,"Muy bajo"
"0901204011231","09","012","0401",5,5,0.6090928,"Muy bajo"
"0901101111198","09","011","0111",24,24,0.6096952,"Muy bajo"
"0901302320635","09","013","0232",123,122,0.6123172,"Muy bajo"
"0901101101107","09","011","0110",2935,2907,0.6124166,"Muy bajo"
"0901204211231","09","012","0421",3,3,0.6135029,"Muy bajo"
"0900903550100","09","009","0355",51,51,0.6136613,"Muy bajo"
"0901302850620","09","013","0285",43,40,0.6139794,"Muy bajo"
"0900903790100","09","009","0379",6,6,0.614432,"Muy bajo"
"0900903210524","09","009","0321",13,13,0.6152148,"Muy bajo"
"0900400790157","09","004","0079",2,2,0.6155242,"Muy bajo"
"0901203781227","09","012","0378",43,43,0.6170307,"Muy bajo"
"0901204201829","09","012","0420",38,38,0.6173402,"Muy bajo"
"0900900880100","09","009","0088",195,189,0.6179235,"Muy bajo"
"0900903560100","09","009","0356",20,20,0.6179511,"Muy bajo"
"0900801020368","09","008","0102",1,1,0.6180567,"Muy bajo"
"0900900670100","09","009","0067",182,174,0.6190469,"Muy bajo"
"0900901120524","09","009","0112",153,153,0.6195581,"Muy bajo"
"0900902710100","09","009","0271",34,33,0.6195694,"Muy bajo"
"0901100871198","09","011","0087",90,90,0.6195909,"Muy bajo"
"0900903900100","09","009","0390",17,17,0.6199596,"Muy bajo"
"0901100010768","09","011","0001",18,18,0.6205493,"Muy bajo"
"0901301570635","09","013","0157",707,694,0.6213732,"Muy bajo"
"0900900980100","09","009","0098",35,35,0.6214457,"Muy bajo"
"0900903930100","09","009","0393",2,2,0.6216963,"Muy bajo"
"0900901720100","09","009","0172",48,46,0.6221972,"Muy bajo"
"0901302940635","09","013","0294",27,27,0.622241,"Muy bajo"
"0900800830368","09","008","0083",451,448,0.6223375,"Muy bajo"
"0900904110524","09","009","0411",8,8,0.6228375,"Muy bajo"
"0900902740100","09","009","0274",12,12,0.6230057,"Muy bajo"
"0901002141326","09","010","0214",12,12,0.6231246,"Muy bajo"
"0900902070100","09","009","0207",59,54,0.6234975,"Muy bajo"
"0901302491281","09","013","0249",113,113,0.6235447,"Muy bajo"
"0900900520100","09","009","0052",102,98,0.6238691,"Muy bajo"
"0900903960539","09","009","0396",5,5,0.6245513,"Muy bajo"
"0901302510620","09","013","0251",54,54,0.6247673,"Muy bajo"
"0901200012333","09","012","0001",264,261,0.624963,"Muy bajo"
"0900902830524","09","009","0283",50,45,0.6265651,"Muy bajo"
"0900900290609","09","009","0029",159,151,0.6270792,"Muy bajo"
"0901101580471","09","011","0158",19,19,0.6283023,"Muy bajo"
"0901203651231","09","012","0365",4,4,0.6291646,"Muy bajo"
"0900901760100","09","009","0176",359,340,0.6294019,"Muy bajo"
"0900901950100","09","009","0195",143,143,0.6298962,"Muy bajo"
"0900902260100","09","009","0226",13,12,0.6303893,"Muy bajo"
"0900801010368","09","008","0101",15,13,0.6319978,"Muy bajo"
"0900904070539","09","009","0407",37,36,0.6324255,"Muy bajo"
"0901201301250","09","012","0130",69,68,0.6326747,"Muy bajo"
"0901300960635","09","013","0096",203,198,0.632678,"Muy bajo"
