"CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","Area"
"0900200011076","09","002","0001","1076","362902"
"0900200011080","09","002","0001","1080","209054"
"0900200011165","09","002","0001","1165","1675928"
"0900200011042","09","002","0001","1042","314790"
"0900200010665","09","002","0001","0665","431908"
"0900200010010","09","002","0001","0010","163388"
"0900200010025","09","002","0001","0025","190892"
"090020001003A","09","002","0001","003A","185392"
"0900200011150","09","002","0001","1150","195588"
"0900200011023","09","002","0001","1023","671241"
"0900200010684","09","002","0001","0684","393008"
"0900200010044","09","002","0001","0044","213884"
"090020001081A","09","002","0001","081A","191390"
"090020001010A","09","002","0001","010A","134992"
"0900200010167","09","002","0001","0167","172690"
"0900200010097","09","002","0001","0097","171327"
"0900200010114","09","002","0001","0114","677047"
"0900200010186","09","002","0001","0186","449371"
"0900200010260","09","002","0001","0260","177068"
"0900200010415","09","002","0001","0415","260869"
"0900200010472","09","002","0001","0472","357169"
"0900200010542","09","002","0001","0542","401063"
"0900200010580","09","002","0001","0580","211221"
"0900200010650","09","002","0001","0650","449669"
"090020001067A","09","002","0001","067A","396178"
"0900200010769","09","002","0001","0769","542146"
"0900200010788","09","002","0001","0788","236247"
"0900200010792","09","002","0001","0792","312056"
"0900200010824","09","002","0001","0824","444975"
"0900200010858","09","002","0001","0858","242432"
"0900200011057","09","002","0001","1057","211775"
